"1";"gyro_xout";"gyro_yout";"gyro_zout";"accel_xout";"accel_yout";"accel_zout"
"14926";"164";"390";"129";"3436";"-1416";"15392"
"14927";"186";"395";"119";"3312";"-1292";"14876"
"14928";"105";"407";"199";"3560";"-1276";"15384"
"14929";"44";"509";"220";"3408";"-1416";"14784"
"14930";"148";"270";"58";"3828";"756";"14844"
"14931";"75";"373";"170";"4064";"-1640";"15024"
"14932";"209";"499";"124";"3148";"-1744";"15088"
"14933";"133";"347";"135";"3792";"-1164";"15348"
"14934";"170";"462";"151";"3516";"-1524";"15244"
"14935";"134";"359";"119";"3248";"-1452";"15356"
"14936";"160";"456";"139";"3336";"-1480";"15408"
"14937";"186";"344";"146";"3380";"-1588";"15124"
"14938";"175";"457";"162";"3484";"-1404";"15340"
"14939";"157";"400";"182";"3304";"-1492";"15252"
"14940";"139";"409";"113";"3328";"-1480";"15288"
"14941";"148";"407";"125";"3344";"-1472";"15324"
"14942";"165";"381";"118";"3428";"-1456";"15256"
"14943";"160";"402";"109";"3368";"-1504";"15160"
"14944";"177";"378";"121";"3504";"-1484";"15104"
"14945";"149";"420";"121";"3428";"-1536";"15212"
"14946";"200";"411";"140";"3436";"-1428";"15276"
"14947";"105";"389";"157";"3344";"-1284";"15168"
"14948";"182";"396";"159";"3460";"-1452";"15208"
"14949";"139";"383";"113";"3464";"-1480";"15272"
"14950";"161";"410";"131";"3476";"-1448";"15280"
"14951";"142";"417";"135";"3380";"-1284";"15180"
"14952";"161";"426";"171";"3396";"-1508";"15196"
"14953";"185";"417";"122";"3396";"-1436";"15120"
"14954";"135";"408";"141";"3432";"-1468";"15196"
"14955";"137";"417";"123";"3452";"-1464";"15296"
"14956";"127";"392";"146";"3432";"-1424";"15176"
"14957";"152";"390";"183";"3444";"-1480";"15320"
"14958";"176";"421";"142";"3468";"-1488";"15196"
"14959";"149";"390";"162";"3448";"-1476";"15228"
"14960";"163";"412";"140";"3360";"-1508";"15160"
"14961";"133";"394";"130";"3444";"-1452";"15224"
"14962";"164";"410";"144";"3388";"-1472";"15144"
"14963";"192";"398";"121";"3080";"-1396";"15356"
"14964";"170";"409";"167";"3776";"-1640";"15600"
"14965";"150";"406";"118";"3440";"-1464";"15292"
"14966";"136";"416";"99";"3468";"-1532";"15240"
"14967";"117";"420";"128";"3424";"-1496";"15120"
"14968";"142";"419";"139";"3524";"-1492";"15172"
"14969";"176";"394";"131";"3416";"-1480";"15348"
"14970";"135";"405";"140";"3448";"-1504";"15192"
"14971";"150";"382";"164";"3432";"-1292";"15344"
"14972";"183";"394";"141";"3464";"-1536";"15256"
"14973";"165";"412";"142";"3352";"-1492";"15160"
