SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1607733817.7768621, -9.444826, -0.541538, -2.417545, 0.106141, -0.062995, -0.022110, 146.056519, -48.706573, -852.313599
1607733817.848505, -9.442282, -0.623540, -2.195782, 0.099969, 0.063125, 0.086300, 145.199951, -49.054855, -852.207214
1607733817.907037, -9.508871, -0.266654, -2.303970, 0.135205, 0.175644, 0.030189, 144.523468, -49.689850, -851.679321
1607733817.978795, -9.546580, -0.439935, -2.195333, 0.086460, 0.403546, 0.125300, 143.479279, -50.679489, -851.046082
1607733818.050317, -9.456049, -0.407014, -2.190545, 0.253405, 1.406978, -0.205023, 144.631058, -50.982468, -851.062622
1607733818.12205, -9.118467, -0.514604, -2.332701, 0.147716, 5.430273, 0.292289, 144.896011, -51.376419, -851.601257
1607733818.19483, -8.200590, -0.716614, -3.869628, 1.481909, 3.502625, -1.156520, 149.398590, -53.013504, -854.289917
1607733818.26959, -6.479009, -0.132130, -7.226000, -1.009401, 3.110370, -0.349678, 162.124847, -54.381165, -857.320557
1607733818.3447928, -4.526837, -2.905813, -6.314557, -0.822831, 3.897187, -0.164726, 172.150162, -60.214493, -857.373108
1607733818.420105, -2.466177, -1.335665, -9.474754, -0.841077, 4.713011, -0.047315, 181.179520, -57.762283, -854.359741
1607733818.4866219, 0.889745, -0.696264, -10.583568, 0.370138, 0.912447, -0.257222, 191.703140, -56.340973, -845.859375
1607733818.562594, 2.894440, -0.838419, -9.324368, -0.161853, 1.526605, -0.290103, 196.590683, -55.125580, -840.926636
1607733818.6558099, 3.741239, -0.685939, -8.874707, 0.256687, 0.688434, -0.295600, 198.298416, -53.833603, -837.979065
1607733818.731153, 4.267964, -0.482581, -9.037363, 0.140255, 0.797191, -0.160854, 199.364807, -51.848480, -835.451660
1607733818.805982, 4.787505, -0.551115, -8.361749, 0.074121, 0.712658, -0.285052, 199.384888, -50.573654, -833.322449
1607733818.8805351, 5.490503, -0.663044, -8.022072, -0.320128, 1.335336, -0.253063, 200.696274, -48.125702, -830.395386
1607733818.956289, 5.932981, -0.369306, -7.240515, -0.135390, 0.714807, -0.219865, 201.020554, -46.006226, -827.308594
1607733819.034631, 6.757784, -0.367809, -6.773795, 0.178623, 0.045349, -0.063783, 201.823471, -44.650772, -824.032349
1607733819.113292, 7.214179, -0.159214, -6.747160, 0.113996, 0.144410, -0.029986, 200.769852, -44.179535, -822.356079
1607733819.193845, 7.451354, -0.128688, -6.895151, -0.130517, 0.115152, -0.154724, 201.521545, -43.781494, -821.760254
1607733819.269062, 6.873903, -0.159663, -6.836942, 0.129402, -0.341195, -0.066035, 201.610382, -43.994644, -821.422913
1607733819.3448582, 6.811653, -0.062100, -7.011120, 0.119713, -0.396857, -0.136708, 201.772324, -43.687073, -821.144287
1607733819.405941, 6.258593, -0.105794, -7.399580, 0.702612, -1.392563, -0.101098, 202.804382, -44.225693, -822.995972
1607733819.499182, 6.024111, -0.286257, -8.070704, 0.754238, -1.951257, -0.040097, 202.498947, -44.542603, -824.689026
1607733819.5771608, 5.032462, -1.162235, -8.375366, 0.580876, -1.747793, 0.141720, 202.493179, -45.146835, -830.056580
1607733819.655905, 4.469825, -0.364966, -9.132533, -0.373418, -3.996285, 0.137592, 200.455780, -45.322342, -835.748230
1607733819.716227, 3.656395, -1.643470, -10.426299, 0.605759, -4.396225, 1.058086, 197.730087, -46.145767, -843.549927
1607733819.7931209, -1.393126, -0.374393, -10.146028, 1.312783, -5.050467, 0.243381, 189.965393, -42.888245, -851.200134
1607733819.8900619, -3.029413, -1.848773, -9.903166, 0.065905, -0.925340, 0.269365, 177.281052, -47.994370, -860.077515
1607733819.9528809, -4.566191, -0.971747, -8.817097, 0.045773, -0.273107, 0.363786, 173.259247, -47.831421, -860.723267
1607733820.032335, -6.008399, -1.427992, -7.323713, -0.012117, -0.538502, 0.496377, 169.434830, -48.960083, -861.500183
1607733820.128242, -6.799383, -1.226729, -6.731897, 0.202109, -0.876019, 0.262137, 167.880569, -49.733612, -860.867065
1607733820.206277, -7.426365, -0.861613, -6.216545, 0.114540, 0.079721, 0.257117, 166.239410, -49.696655, -860.706787
1607733820.286199, -7.619996, -0.267552, -6.390274, -0.006193, -0.147522, 0.169570, 163.429047, -48.531555, -859.870911
1607733820.364653, -7.687333, -0.653467, -5.327997, 0.030859, -0.072027, 0.162845, 162.822952, -47.870041, -859.861084
1607733820.44349, -7.937826, -0.355838, -5.534197, 0.044385, 0.320807, 0.180925, 162.502960, -47.320358, -859.375122
1607733820.520508, -7.648876, -0.201412, -5.595997, -0.002092, 0.322023, 0.213199, 161.919495, -47.417313, -858.234741
1607733820.598511, -8.046912, -0.391602, -5.183447, 0.130144, 0.131017, 0.195827, 160.626053, -48.007095, -857.143311
