time,X_value,Y_value,Z_value
Started:,12월 10 2020,11:20:30:490, 
23.1264,-0.21095,-0.52548,-19.23415
23.1793,0.31105,-0.00421,-19.22004
23.2316,0.26626,0.30265,-19.13957
23.2847,-0.30879,1.84560,-19.55247
23.3365,-1.20348,2.40798,-20.75965
23.3866,-1.59880,2.98367,-22.57416
23.4386,-0.61400,1.09963,-22.80164
23.4904,-0.94476,-1.27111,-22.92142
23.5425,-0.60853,-0.62210,-23.26293
23.5947,-0.23205,0.48397,-23.72519
23.6462,0.12839,0.85319,-23.76991
23.7006,-0.45380,1.47129,-23.20984
23.7532,-0.03848,2.29551,-22.27000
23.8049,0.58959,1.23342,-21.47054
23.8546,-0.13342,-0.52005,-20.66754
23.9069,-0.44298,-0.03516,-20.36314
23.9621,0.18033,-0.81405,-20.27809
24.0113,-1.16072,-1.36019,-19.57761
24.0623,-1.28530,-0.71279,-19.94934
24.1155,-1.18654,0.03352,-20.41498
24.1677,-0.39494,0.26517,-20.38424
24.2218,-1.35551,1.97242,-20.93286
24.2706,-2.09096,2.70583,-21.13240
24.3223,-2.56892,2.71229,-21.83800
24.3738,-1.85402,2.30029,-22.33997
24.4267,-1.31357,0.14234,-22.06219
24.4842,-1.22148,-0.24668,-22.45040
24.5301,-1.04196,0.74152,-23.00408
24.5827,-0.32965,1.49610,-23.64117
24.6345,0.33980,2.11245,-23.11715
24.6866,0.55919,1.91892,-23.01961
24.7383,0.85534,2.51588,-22.64342
24.7903,1.31906,0.66012,-21.21550
24.8426,-0.64211,-0.23852,-20.88556
24.8939,-0.19186,-0.69973,-20.10936
24.9465,-0.40895,-1.51960,-20.10754
24.9985,-0.86126,-1.49944,-20.04781
25.0506,-1.55639,-0.62520,-20.03131
25.1022,-1.77099,-1.00362,-19.89769
25.1544,-2.05716,0.21216,-19.67639
25.2057,-2.36360,1.97365,-20.86933
25.2596,-3.42367,2.11491,-21.86539
25.3119,-2.34000,2.86527,-22.02285
25.3642,-1.88415,2.19369,-22.06083
25.4151,-2.07257,0.63345,-21.93502
25.4665,-2.38836,0.89129,-21.87551
25.5201,-1.85896,1.02503,-21.85460
25.5716,-1.22527,1.91688,-22.75616
25.6220,-1.12012,0.89251,-22.79735
25.6740,-0.25179,2.07640,-21.88637
25.7322,0.32554,1.82735,-21.70721
25.7786,1.08675,-0.19086,-20.86235
25.8303,0.49673,-0.38390,-20.06558
25.8873,1.36837,-1.03460,-19.79465
25.9354,0.97712,-1.61538,-19.43438
25.9977,0.22381,-0.90658,-19.19466
26.0389,0.00369,-0.27697,-19.35633
26.0897,-0.02894,0.74094,-19.06009
26.1427,-0.98424,1.99272,-19.00801
26.1945,-1.49021,2.82639,-19.18313
26.2581,-2.22008,1.68004,-19.06295
26.2984,-1.96520,0.89212,-20.05037
26.3504,-0.71270,0.23719,-20.56768
26.4040,-0.62190,-0.48573,-20.66260
26.4556,0.13222,-0.14585,-20.98272
26.5073,0.05916,0.44714,-21.46450
26.5596,1.08563,1.45395,-21.58782
26.6103,1.50537,2.01653,-21.40063
26.6617,2.36854,3.05060,-20.89515
26.7157,3.28484,1.45932,-20.33505
26.7667,1.83932,-1.71642,-19.43250
26.8222,0.58037,-1.07553,-19.38159
26.8707,1.30292,-1.15409,-19.65768
26.9259,0.82231,-2.24307,-19.78421
26.9760,0.02860,-2.38936,-19.78502
27.0262,-0.01878,-1.36087,-20.10046
27.0821,-0.23027,-0.43820,-19.73766
27.1352,-0.63479,0.96003,-19.59219
27.1819,-0.56747,2.75214,-20.34613
27.2346,0.12417,1.82347,-21.06926
27.2958,0.65564,0.86083,-22.03188
27.3386,0.51275,-0.23396,-22.60985
27.3898,0.86082,-0.95290,-23.51935
27.4421,0.99354,-0.31093,-23.72873
27.4958,1.26421,0.40000,-24.23845
27.5597,1.75676,0.82778,-25.04111
27.5998,2.73289,2.10303,-24.12758
27.6540,1.96435,1.15341,-23.93868
27.7049,4.52624,1.80615,-21.38602
27.7544,3.38046,1.32950,-20.08481
27.8060,4.22273,1.94511,-19.13542
27.8590,3.51506,0.10064,-19.79643
27.9097,1.37523,-0.73611,-20.49123
27.9670,1.24495,0.18798,-19.76791
28.0230,0.80269,0.53444,-19.60226
28.0662,-0.75609,0.24489,-19.38708
28.1192,0.13305,2.08713,-19.00995
28.1738,0.49944,4.77708,-19.17655
28.2230,1.34398,5.46854,-19.24178
28.2736,-0.12379,3.59808,-20.90334
28.3269,1.33185,1.78590,-21.71724
28.3813,1.85755,1.67559,-21.44417
28.4342,1.01944,1.33097,-22.13775
28.4815,1.14771,2.35082,-22.74147
28.5337,1.54548,2.16260,-23.00797
