"1";"gyro_xout";"gyro_yout";"gyro_zout";"accel_xout";"accel_yout";"accel_zout"
"1438";"4527";"10012";"-9700";"-3764";"-7680";"16140"
"1439";"2759";"5139";"-15525";"-4284";"-4640";"13428"
"1440";"2302";"2339";"-8912";"-4364";"-5792";"13144"
"1441";"-108";"1275";"-4248";"-4000";"-5760";"13884"
"1442";"-526";"-846";"-3610";"-2912";"-4944";"14108"
"1443";"976";"-2910";"-3351";"-3020";"-6020";"14364"
"1444";"317";"-1023";"-2712";"-3284";"-5340";"14160"
"1445";"-371";"1978";"-3181";"-2616";"-5872";"14800"
"1446";"458";"4084";"-4496";"-3676";"-6420";"14668"
"1447";"-407";"5844";"-6557";"-2116";"-6164";"14048"
"1448";"236";"3364";"-6701";"-2440";"-5152";"14384"
"1449";"640";"1932";"115";"-1988";"-5200";"10760"
"1450";"1127";"-114";"4118";"-2936";"-5688";"12700"
"1451";"-2347";"-655";"4054";"-4220";"-7316";"15120"
"1452";"-119";"766";"3718";"-3144";"-6164";"13688"
"1453";"918";"-954";"2792";"-5060";"-10784";"16744"
"1454";"109";"322";"-1821";"-4244";"-6528";"13920"
"1455";"1519";"439";"1362";"-3344";"-6112";"11860"
"1456";"-85";"-1815";"135";"-2764";"-7016";"11360"
"1457";"-5374";"-1391";"-1918";"-8088";"-11512";"17640"
"1458";"-1875";"-568";"-4594";"-5012";"-8100";"15264"
"1459";"1883";"1336";"-6954";"-2700";"-7916";"14004"
"1460";"3262";"3693";"-10540";"-2976";"-6068";"13508"
"1461";"3652";"5054";"-6632";"-748";"-5412";"13084"
"1462";"-1453";"3754";"-2505";"1124";"-6860";"14632"
"1463";"-2799";"2737";"-3017";"776";"-8884";"14160"
"1464";"425";"1762";"-7324";"-1316";"-11720";"12488"
"1465";"3828";"3759";"-12617";"-2436";"-10300";"13524"
"1466";"2527";"2551";"-4870";"-356";"-7304";"13964"
"1467";"3398";"311";"-2405";"-568";"-8252";"14180"
"1468";"1058";"282";"-3129";"1352";"-7972";"14120"
"1469";"1373";"-3030";"-4989";"872";"-8012";"13076"
"1470";"578";"3180";"-2108";"-108";"-4864";"14232"
"1471";"3974";"2566";"-3384";"1124";"-6672";"14688"
"1472";"5059";"5786";"-4395";"-1408";"-3360";"12496"
"1473";"4481";"3831";"-12342";"-1500";"-5348";"15800"
"1474";"3421";"1776";"-6704";"-972";"608";"17236"
"1475";"1198";"503";"140";"-272";"-3056";"15500"
"1476";"2097";"1926";"-5757";"212";"-2208";"16128"
"1477";"2156";"1982";"-4935";"-304";"-548";"15616"
"1478";"1910";"5448";"-9968";"-1212";"-1736";"14740"
"1479";"-898";"1769";"-7122";"220";"-652";"16532"
"1480";"-198";"-765";"-7928";"-1732";"-2108";"15848"
"1481";"-363";"92";"-7932";"-2048";"-2012";"15480"
"1482";"-1024";"1085";"-6700";"-1556";"-2484";"16464"
"1483";"-320";"2042";"-6171";"-1308";"-2512";"15076"
"1484";"-998";"135";"-3753";"-1552";"-2580";"14860"
"1485";"-859";"150";"-793";"-2244";"-4536";"16136"
"1486";"-469";"3424";"-1133";"24";"-4336";"16856"
"1487";"1777";"2623";"4011";"-4216";"3044";"16268"
"1488";"4672";"5441";"-2006";"276";"-9544";"13752"
"1489";"-2329";"714";"-4562";"-1764";"892";"17352"
"1490";"281";"-3049";"-1794";"-3532";"-5808";"11004"
"1491";"-1905";"2661";"-3614";"-4436";"-1552";"15360"
"1492";"914";"638";"-1493";"-3028";"-4088";"15892"
"1493";"846";"-2435";"2052";"-2244";"-352";"17096"
"1494";"531";"-2808";"1165";"-2376";"-4704";"15012"
"1495";"1083";"-95";"-931";"-1428";"-4084";"15780"
"1496";"-899";"1206";"-1989";"-1708";"-4616";"13256"
"1497";"-3321";"6814";"-8470";"-1748";"-2280";"16356"
"1498";"602";"-239";"-649";"-2672";"-1804";"17136"
"1499";"259";"1567";"-2796";"-2576";"-4568";"14932"
"1500";"-178";"840";"-2956";"-1836";"-3948";"15816"
"1501";"907";"-1374";"-1801";"-1152";"-4512";"13636"
"1502";"-279";"2185";"-2535";"-4536";"-5376";"13720"
"1503";"-3059";"3547";"1031";"-3848";"-4060";"16412"
"1504";"-1597";"3603";"-1575";"-3904";"-5180";"17532"
"1505";"-444";"-453";"3169";"-3560";"-5768";"16108"
"1506";"-10";"-2992";"-968";"1212";"-8284";"17388"
"1507";"-1955";"-730";"-5670";"-5648";"-7808";"14208"
"1508";"234";"-1080";"-1317";"-3740";"-4124";"13068"
"1509";"219";"-1426";"-1035";"-3188";"-5756";"14800"
"1510";"-1362";"-1655";"-2498";"-1396";"-4564";"15360"
"1511";"-986";"160";"-1983";"44";"-6652";"14392"
"1512";"1578";"1141";"356";"-1032";"-6352";"13756"
"1513";"236";"-1881";"4392";"-2896";"-3668";"14448"
"1514";"-3448";"-1245";"-563";"3368";"-6548";"18092"
"1515";"223";"1002";"-1191";"-1520";"-6956";"13676"
"1516";"187";"-518";"873";"-1508";"-5772";"13028"
"1517";"1679";"3293";"-4129";"-636";"-7104";"15432"
"1518";"2913";"2238";"-3550";"-68";"-6252";"15056"
"1519";"48";"1251";"-605";"460";"-8132";"14580"
"1520";"2400";"929";"240";"-1404";"-7512";"13792"
"1521";"-2027";"-2239";"2588";"-300";"-7572";"16088"
"1522";"-609";"-1036";"2671";"-96";"-6440";"15196"
"1523";"2632";"-1283";"-1648";"1476";"-5108";"15080"
"1524";"213";"456";"-543";"276";"-6140";"15048"
"1525";"-323";"-71";"1647";"-680";"-4548";"14392"
"1526";"-16";"31";"135";"460";"-5932";"15128"
"1527";"317";"236";"788";"508";"-5348";"14700"
"1528";"2273";"2532";"-1689";"964";"-6400";"16664"
"1529";"4068";"3382";"-606";"-1668";"-4308";"14548"
"1530";"-2974";"-3384";"8332";"-1304";"-3900";"13936"
"1531";"-793";"2558";"1571";"-564";"-4436";"14520"
"1532";"-1420";"2602";"2991";"4";"-4212";"16728"
"1533";"702";"1490";"603";"-164";"-7992";"16052"
"1534";"9";"1961";"-2669";"-1612";"-5452";"15120"
"1535";"209";"1239";"-861";"-2128";"-5796";"15072"
"1536";"222";"918";"-995";"-2412";"-5308";"15068"
"1537";"215";"1007";"-513";"-2180";"-5440";"14600"
"1538";"166";"867";"-403";"-2520";"-5428";"14224"
"1539";"131";"694";"-430";"-2620";"-5488";"14680"
"1540";"74";"535";"-254";"-2652";"-5348";"14644"
"1541";"8";"367";"-84";"-2128";"-5304";"14536"
"1542";"-85";"199";"354";"-2652";"-5616";"14900"
"1543";"155";"144";"146";"-2320";"-6132";"15120"
"1544";"6";"512";"162";"-2724";"-5208";"14156"
"1545";"174";"328";"611";"-2348";"-6068";"14948"
"1546";"422";"329";"234";"-2440";"-5824";"14652"
"1547";"419";"42";"311";"-2520";"-5608";"14328"
"1548";"279";"102";"115";"-2616";"-5396";"14424"
"1549";"343";"322";"109";"-2400";"-5340";"14868"
"1550";"986";"355";"-354";"-1760";"-5492";"15076"
"1551";"1233";"506";"-1127";"-1980";"-4400";"14996"
"1552";"1005";"658";"-696";"-2384";"-4264";"14560"
"1553";"604";"324";"-1049";"-2384";"-5716";"16348"
"1554";"567";"478";"-1494";"-2192";"-4928";"15628"
"1555";"144";"150";"102";"-2324";"-4568";"15152"
"1556";"458";"172";"68";"-2236";"-4784";"15308"
"1557";"640";"157";"-89";"-1568";"-4536";"15584"
"1558";"428";"19";"-168";"-1932";"-4344";"15044"
"1559";"762";"295";"164";"-1648";"-4320";"15684"
"1560";"1936";"-193";"1120";"-240";"-4612";"15816"
"1561";"2390";"1579";"-2512";"168";"-4572";"14160"
"1562";"2865";"4633";"-6848";"-3708";"-2812";"17256"
"1563";"3019";"1616";"-3662";"-1920";"-3284";"15368"
"1564";"1536";"817";"-2360";"-5136";"-2864";"14560"
"1565";"2271";"-1375";"-1141";"-4100";"-2496";"15516"
"1566";"4011";"-2142";"600";"-5404";"-1552";"15032"
"1567";"4996";"-4921";"6146";"-2124";"-308";"15672"
"1568";"3134";"-4336";"2286";"4252";"1116";"14964"
"1569";"2531";"-2425";"2133";"3020";"2368";"14460"
"1570";"1159";"-2066";"3028";"2856";"2780";"15256"
"1571";"951";"-1269";"2413";"3148";"2960";"16528"
"1572";"1677";"-1856";"3680";"3668";"2816";"16752"
"1573";"1861";"-1643";"4496";"2708";"2880";"14228"
"1574";"343";"-204";"2557";"4936";"2332";"15308"
"1575";"-638";"1413";"1799";"4180";"2100";"15704"
"1576";"-2004";"2512";"739";"3836";"1936";"15424"
"1577";"-3739";"3341";"255";"3228";"1340";"16468"
"1578";"-4094";"3382";"1523";"2340";"1076";"16112"
"1579";"-2900";"2768";"2418";"2972";"-336";"15848"
"1580";"-3245";"2387";"2117";"2232";"-988";"15756"
"1581";"-3070";"2446";"2542";"2124";"-1908";"15896"
"1582";"-2111";"2913";"1385";"1824";"-2204";"16092"
"1583";"-1728";"2341";"1212";"216";"-2916";"16592"
"1584";"-660";"1061";"826";"-676";"-3304";"15764"
"1585";"702";"1766";"-75";"-1428";"-3940";"16132"
"1586";"266";"2712";"-2835";"-1840";"-3588";"15456"
"1587";"220";"3125";"-4295";"-2688";"-4900";"15008"
"1588";"446";"2635";"-4470";"-3840";"-4032";"14436"
"1589";"863";"1089";"-1899";"-4128";"-3368";"15000"
"1590";"582";"-592";"-44";"-2832";"-3040";"15496"
"1591";"1203";"-1226";"128";"-2876";"-2604";"16172"
"1592";"652";"131";"-1601";"-1188";"-4592";"14676"
"1593";"-633";"498";"-2226";"-1644";"-6096";"14888"
"1594";"-260";"-576";"-618";"-812";"-5132";"14112"
"1595";"-720";"-203";"405";"-540";"-5240";"15128"
"1596";"-262";"188";"2180";"-80";"-4352";"15448"
"1597";"788";"762";"2480";"184";"-4432";"15208"
"1598";"1235";"2230";"-51";"772";"-3192";"15524"
"1599";"2482";"1886";"-1776";"-1428";"-3856";"15036"
"1600";"2852";"2628";"-4223";"-4716";"-3680";"13836"
"1601";"2322";"2417";"-4407";"-3532";"-3404";"14100"
"1602";"1297";"2256";"-5494";"-3812";"-3564";"14916"
"1603";"-360";"1212";"-7554";"-3924";"-2584";"15408"
"1604";"1274";"1094";"-8552";"-4884";"-2884";"15064"
"1605";"2107";"1170";"-8037";"-5652";"-3152";"14724"
"1606";"1793";"1059";"-5455";"-3684";"-5408";"14984"
"1607";"1051";"-1647";"-665";"1232";"-3960";"17412"
"1608";"281";"-1029";"-806";"-1096";"-3920";"14408"
"1609";"-546";"-871";"1918";"-1140";"-3780";"15816"
"1610";"-586";"-882";"3739";"-156";"-4012";"15436"
"1611";"-690";"-330";"4877";"-248";"-4296";"14648"
"1612";"-265";"310";"4546";"-20";"-4204";"15368"
"1613";"-943";"1789";"2370";"-2760";"-2684";"17104"
"1614";"-619";"1975";"215";"-4296";"-3248";"15536"
"1615";"60";"1004";"-1137";"-2440";"-3236";"15428"
"1616";"1551";"1232";"-6144";"-2556";"-3860";"13840"
"1617";"-201";"2408";"-10083";"-5612";"-4628";"13720"
"1618";"-27";"2737";"-9638";"-4616";"-3944";"18764"
"1619";"2169";"3171";"-11329";"432";"-4424";"15536"
"1620";"1851";"1481";"-11275";"-1548";"-5408";"15284"
"1621";"2385";"1822";"-9593";"-1672";"-5736";"14192"
"1622";"2889";"2148";"-7429";"-1908";"-6108";"14472"
"1623";"2081";"1992";"-4502";"-1820";"-6384";"13024"
"1624";"-2674";"2982";"-3352";"-1656";"-4284";"19888"
"1625";"-2943";"1335";"-2333";"-5316";"-1564";"20612"
"1626";"643";"3208";"-599";"-3092";"-2600";"12144"
"1627";"-241";"1010";"1686";"-3456";"-4916";"12520"
"1628";"-3007";"-1170";"1614";"-4052";"-7108";"14720"
"1629";"-6345";"-1293";"221";"-5628";"-2976";"22900"
"1630";"711";"-2318";"2873";"1244";"-6016";"18444"
"1631";"2212";"-1347";"210";"988";"-4420";"11824"
"1632";"3037";"1349";"-2541";"-1644";"-6320";"11876"
"1633";"283";"2807";"-1406";"-2244";"-9424";"15868"
"1634";"3013";"3256";"-1498";"-3540";"-3168";"15812"
"1635";"1956";"3266";"-2856";"-4508";"-4332";"15624"
"1636";"1460";"1219";"-958";"-2284";"-4164";"11060"
"1637";"-477";"-1039";"-345";"-4568";"-7096";"12476"
"1638";"-1688";"-487";"2066";"-2020";"-5644";"23724"
"1639";"1546";"-1540";"2761";"384";"-4696";"15416"
"1640";"1403";"-1064";"2166";"240";"-3736";"12012"
"1641";"1160";"864";"-410";"-288";"-6720";"12540"
"1642";"-1026";"3451";"-1620";"-1388";"-10392";"15124"
"1643";"-769";"355";"-1511";"-1388";"-5208";"14624"
"1644";"2402";"3524";"-2208";"-3792";"-3264";"10060"
"1645";"452";"261";"215";"-2516";"-6612";"10348"
"1646";"-4614";"-2605";"2419";"-7124";"-7472";"17244"
"1647";"-754";"-1414";"3810";"576";"-5840";"19420"
"1648";"2684";"-1565";"3783";"-816";"-3068";"12584"
"1649";"2093";"-1774";"1180";"-2852";"-7724";"12592"
"1650";"-386";"-653";"2988";"-284";"-6544";"13496"
"1651";"-162";"1302";"-311";"-3364";"-5576";"25536"
"1652";"-301";"2546";"-4643";"-4768";"-4916";"19968"
"1653";"1009";"2367";"-2875";"-3040";"-3640";"11812"
"1654";"-3026";"64";"-1559";"-5608";"-7064";"12572"
"1655";"-4949";"-2859";"2955";"3232";"-6116";"29660"
"1656";"1948";"-1286";"1672";"1228";"-4684";"16336"
"1657";"2698";"-2328";"1749";"1204";"-3588";"10776"
"1658";"2487";"1853";"-2198";"-344";"-7620";"10640"
"1659";"-1707";"3327";"-403";"236";"-9820";"15528"
"1660";"-2000";"1059";"-1759";"-688";"-6592";"16776"
"1661";"2626";"4833";"-2648";"-2992";"-3692";"10160"
"1662";"912";"598";"718";"-2760";"-7272";"10248"
"1663";"-2944";"-597";"1760";"-6428";"-8024";"17360"
"1664";"-332";"-2117";"3330";"-1624";"-6012";"17696"
"1665";"2472";"-2739";"3288";"-88";"-3180";"12548"
"1666";"2220";"-1505";"564";"-572";"-8152";"11376"
"1667";"-658";"2127";"-23";"-2080";"-7292";"15280"
"1668";"2630";"4246";"-3678";"-1824";"-1676";"19612"
"1669";"3952";"5921";"-5104";"-4520";"-3496";"13872"
"1670";"1926";"279";"-57";"-2940";"-5736";"10428"
"1671";"-5564";"-4152";"2304";"-9272";"-7608";"14976"
"1672";"1144";"-1336";"2627";"296";"-3332";"18204"
"1673";"1870";"-914";"1653";"-856";"-4116";"12156"
"1674";"802";"-150";"-621";"648";"-6000";"13164"
"1675";"630";"671";"-349";"952";"-6716";"12788"
"1676";"-3664";"2521";"-1164";"-2340";"-5684";"21452"
"1677";"-1473";"1761";"-3746";"-5404";"-4852";"18196"
"1678";"2559";"2730";"-2330";"-1616";"-3716";"9708"
"1679";"-656";"-1030";"450";"-5088";"-8172";"11004"
"1680";"-3878";"-2791";"2300";"-3660";"-4856";"22424"
"1681";"1050";"-2154";"3128";"268";"-5404";"15720"
"1682";"2182";"37";"-81";"368";"-4088";"10684"
"1683";"1281";"753";"-820";"-1292";"-8148";"11812"
"1684";"-1809";"2268";"-124";"-2528";"-8612";"22232"
"1685";"-152";"1447";"-3697";"-5472";"-4552";"15984"
"1686";"1858";"3532";"-1686";"-1952";"-4520";"10372"
"1687";"495";"-921";"445";"-4116";"-7332";"10364"
"1688";"-6112";"-2320";"1469";"-6192";"-5556";"18368"
"1689";"-1153";"-1611";"1367";"348";"-6916";"18324"
"1690";"3507";"-1476";"2441";"60";"-3588";"11556"
"1691";"2197";"351";"-533";"-844";"-7724";"11088"
"1692";"-1222";"2253";"-162";"-1940";"-10376";"17708"
